"Year","All races and origins","Hispanic","AIAN","Asian","Black","White"
2006,77.8,80.3,NA,NA,73.1,78.2
2007,77.9,80.9,NA,NA,73.2,78.2
2008,78.1,81,NA,NA,73.7,78.4
2009,78.5,81.2,NA,NA,74.2,78.7
2010,78.7,81.4,NA,NA,74.7,78.8
2011,78.7,81.6,NA,NA,74.9,78.8
2012,78.8,81.9,NA,NA,75.1,78.9
2013,78.8,81.9,NA,NA,75.1,78.8
2014,78.9,82.1,NA,NA,75.3,78.8
2015,78.7,81.9,NA,NA,75.1,78.7
2016,78.7,81.8,NA,NA,74.9,78.6
2017,78.6,81.8,NA,NA,74.9,78.5
2018,78.7,81.8,NA,NA,74.7,78.6
2019,78.8,81.9,71.8,85.6,74.8,78.8
2020,77,77.9,67.1,83.6,71.5,77.4
2021,76.1,77.7,65.2,83.5,70.8,76.4
