"state_name","total_votes","total_gop_votes","total_dem_votes","total_diff","avg_per_gop","avg_per_dem","avg_per_point_diff","gop_greater"
"Alabama",2323304,1441168,849648,591520,0.64735885739502,0.342647526502172,0.304711330892849,1
"Alaska",391346,189892,153405,36487,0.497797450983846,0.420912240970608,0.076885210013238,1
"Arizona",3387326,1661686,1672143,-10457,0.548723302195382,0.435860601939887,0.112862700255495,0
"Arkansas",1219069,760647,423932,336715,0.68853067727903,0.282032367210441,0.406498310068589,1
"California",17495906,6005961,11109764,-5103803,0.43938860916508,0.537067728774587,-0.0976791196095071,0
"Colorado",3256953,1364607,1804352,-439745,0.559502480467371,0.417248244095489,0.142254236371882,0
"Connecticut",1824280,715291,1080680,-365389,0.424575647741313,0.557866282405554,-0.133290634664241,0
"Delaware",504010,200603,296268,-95665,0.443037091449039,0.542736645395132,-0.0996995539460931,0
"District of Columbia",344356,18586,317323,-298737,0.0539732137671479,0.921496939214069,-0.867523725446921,0
"Florida",11067456,5668731,5297045,371686,0.633619825582185,0.357409297467129,0.276210528115056,1
"Georgia",4997716,2461854,2473633,-11779,0.639808593564978,0.350515214350888,0.28929337921409,0
"Hawaii",574469,196864,366130,-169266,0.330022690830262,0.64835752760561,-0.318334836775348,0
"Idaho",868105,554118,287021,267097,0.730508904093929,0.240739232440471,0.489769671653458,1
"Illinois",6038850,2446891,3471915,-1025024,0.652193271628698,0.32719584826636,0.324997423362338,0
"Indiana",3033198,1729852,1242495,487357,0.688717338738914,0.29154576543333,0.397171573305584,1
"Iowa",1690871,897672,759061,138611,0.638318051087492,0.344196712282453,0.294121338805039,1
"Kansas",1349567,758100,558669,199431,0.752552239695433,0.227408560362932,0.5251436793325,1
"Kentucky",2136768,1326646,772474,554172,0.740423364622748,0.245120990202831,0.495302374419917,1
"Louisiana",2148062,1255776,856034,399742,0.646492081208894,0.339012211764858,0.307479869444036,1
"Maine",813740,359899,430473,-70574,0.486434835237967,0.485294294563077,0.0011405406748896,0
"Maryland",3037030,976414,1985023,-1008609,0.477075472364275,0.498361869816148,-0.0212863974518731,0
"Massachusetts",3631402,1167202,2382202,-1215000,0.308798577937269,0.6685893326767,-0.359790754739431,0
"Michigan",5539302,2649852,2804040,-154188,0.596680646719971,0.387700060164124,0.208980586555846,0
"Minnesota",3277171,1484065,1717077,-233012,0.602135647149392,0.376106352419724,0.226029294729668,0
"Mississippi",1315178,756764,539398,217366,0.562833529278178,0.423826659458849,0.139006869819329,1
"Missouri",3025962,1718736,1253014,465722,0.752084293613231,0.232851269824685,0.519233023788546,1
"Montana",605750,343602,244786,98816,0.689422058605324,0.287196614678652,0.402225443926673,1
"Nebraska",956379,556846,374583,182263,0.780742386904492,0.198168867730238,0.582573519174254,1
"Nevada",1405376,669890,703486,-33596,0.696978088914259,0.277139857966982,0.419838230947278,0
"New Hampshire",804430,365654,424921,-59267,0.45856374133345,0.523998651795812,-0.0654349104623624,0
"New Jersey",4564234,1883274,2608335,-725061,0.437915451482966,0.544961665513167,-0.107046214030201,0
"New Mexico",923965,401894,501614,-99720,0.532221425920153,0.447902378105158,0.0843190478149956,0
"New York",8616205,3250230,5244006,-1993776,0.508438737924036,0.471868689987005,0.0365700479370313,0
"North Carolina",5524801,2758773,2684292,74481,0.584578847863834,0.40318926203258,0.181389585831254,1
"North Dakota",361819,235595,114902,120693,0.725569292666163,0.247833717111155,0.477735575555009,1
"Ohio",5922202,3154834,2679165,475669,0.674595539379717,0.310535607178073,0.364059932201644,1
"Oklahoma",1560699,1020280,503890,516390,0.778397945134714,0.202755202638134,0.57564274249658,1
"Oregon",2374321,958448,1340383,-381935,0.566155995401385,0.404151367225209,0.162004628176176,0
"Pennsylvania",6925255,3378263,3459923,-81660,0.635926757629672,0.350978002430544,0.284948755199129,0
"Rhode Island",516383,199837,306210,-106373,0.380589538852966,0.598525547842244,-0.217936008989278,0
"South Carolina",2513329,1385103,1091541,293562,0.535670589675403,0.452409802491496,0.0832607871839063,1
"South Dakota",422609,261043,150471,110572,0.673640415519628,0.30551715052832,0.368123264991308,1
"Tennessee",3053851,1852475,1143711,708764,0.747807352144848,0.237236361315784,0.510570990829064,1
"Texas",11317911,5890347,5259126,631221,0.743895318946179,0.245201725771788,0.498693593174392,1
"Utah",1488289,865140,560282,304858,0.728772127040547,0.241405221749637,0.48736690529091,1
"Vermont",367428,112704,242820,-130116,0.351705810715282,0.615268580271815,-0.263562769556532,0
"Virginia",4460524,1962430,2413568,-451138,0.551998247177208,0.431625722720806,0.120372524456402,0
"Washington",4087631,1584651,2369612,-784961,0.52040221988616,0.44843379931281,0.0719684205733496,0
"West Virginia",794652,545382,235984,309398,0.741401585526213,0.243345773941486,0.498055811584727,1
"Wisconsin",3297352,1610065,1630673,-20608,0.564259161365621,0.41963514487492,0.144624016490702,0
"Wyoming",276765,193559,73491,120068,0.750912206411357,0.217683750337081,0.533228456074275,1
